season,week,celebrity_name,ballroom_partner,judge_total,judge_percent,judge_rank,fan_vote_percent,combined_score,eliminated,method,fan_rank,combined_rank
1,1,Evander Holyfield,Edyta Sliwinska,18.0,0.1651376146788991,4,0.1586162437370548,0.3237538584159539,False,rank,3.0,7.0
1,1,Joey McIntyre,Ashly DelGrosso,20.0,0.1834862385321101,1,0.1228636140863179,0.306349852618428,False,rank,5.0,6.0
1,1,John O'Hurley,Charlotte Jorgensen,20.0,0.1834862385321101,1,0.2747313930583076,0.4582176315904177,False,rank,1.0,2.0
1,1,Kelly Monaco,Alec Mazo,13.0,0.1192660550458715,6,0.1942644310363561,0.3135304860822276,False,rank,2.0,8.0
1,1,Rachel Hunter,Jonathan Roberts,20.0,0.1834862385321101,1,0.1373656965291538,0.3208519350612639,False,rank,4.0,5.0
1,1,Trista Sutter,Louis van Amstel,18.0,0.1651376146788991,4,0.1121586215528097,0.2772962362317088,False,rank,6.0,10.0
1,2,Evander Holyfield,Edyta Sliwinska,14.0,0.1157024793388429,6,0.1586162437370548,0.2743187230758978,False,rank,3.0,9.0
1,2,Joey McIntyre,Ashly DelGrosso,21.0,0.1735537190082644,3,0.1228636140863179,0.2964173330945824,False,rank,5.0,8.0
1,2,John O'Hurley,Charlotte Jorgensen,26.0,0.2148760330578512,1,0.2747313930583076,0.4896074261161589,False,rank,1.0,2.0
1,2,Kelly Monaco,Alec Mazo,17.0,0.140495867768595,5,0.1942644310363561,0.3347602988049512,False,rank,2.0,7.0
1,2,Rachel Hunter,Jonathan Roberts,24.0,0.1983471074380165,2,0.1373656965291538,0.3357128039671703,False,rank,4.0,6.0
1,2,Trista Sutter,Louis van Amstel,19.0,0.1570247933884297,4,0.1121586215528097,0.2691834149412395,True,rank,6.0,10.0
1,3,Evander Holyfield,Edyta Sliwinska,13.0,0.1226415094339622,5,0.1786538086504485,0.3012953180844108,True,rank,3.0,8.0
1,3,Joey McIntyre,Ashly DelGrosso,22.0,0.2075471698113207,3,0.1383846451279427,0.3459318149392635,False,rank,5.0,8.0
1,3,John O'Hurley,Charlotte Jorgensen,24.0,0.2264150943396226,2,0.309437473548265,0.5358525678878877,False,rank,1.0,3.0
