season,week,celebrity_name,ballroom_partner,method,estimated_vote_percent,lower_bound,upper_bound,uncertainty_range,relative_uncertainty,judge_percent,combined_score,eliminated
1,1,Evander Holyfield,Edyta Sliwinska,rank,0.1586162437370548,0.1397246463654197,0.1775078411086899,0.03778319474327019,0.2382050782005976,0.1651376146788991,0.3237538584159539,False
1,2,Evander Holyfield,Edyta Sliwinska,rank,0.1586162437370548,0.1397246463654197,0.1775078411086899,0.03778319474327019,0.2382050782005976,0.1157024793388429,0.2743187230758978,False
1,3,Evander Holyfield,Edyta Sliwinska,rank,0.1786538086504485,0.1597622112788134,0.1975454060220836,0.03778319474327019,0.21148832498273937,0.1226415094339622,0.3012953180844108,True
1,1,Joey McIntyre,Ashly DelGrosso,rank,0.1228636140863179,0.024260117653881585,0.2214671105187542,0.19720699286487262,1.6050886532307664,0.1834862385321101,0.306349852618428,False
1,2,Joey McIntyre,Ashly DelGrosso,rank,0.1228636140863179,0.024260117653881585,0.2214671105187542,0.19720699286487262,1.6050886532307664,0.1735537190082644,0.2964173330945824,False
1,3,Joey McIntyre,Ashly DelGrosso,rank,0.1383846451279427,0.039781148695506405,0.236988141560379,0.1972069928648726,1.4250641224143474,0.2075471698113207,0.3459318149392635,False
1,4,Joey McIntyre,Ashly DelGrosso,rank,0.1795682213638207,0.08096472493138439,0.278171717796257,0.1972069928648726,1.0982288033321566,0.217391304347826,0.3969595257116468,False
1,5,Joey McIntyre,Ashly DelGrosso,rank,0.2527297543609129,0.15412625792847656,0.3513332507933492,0.19720699286487264,0.7803077772285154,0.3082191780821918,0.5609489324431047,False
1,1,John O'Hurley,Charlotte Jorgensen,rank,0.2747313930583076,0.054106295818912326,0.4953564902977029,0.44125019447879055,1.606114938547055,0.1834862385321101,0.4582176315904177,False
1,2,John O'Hurley,Charlotte Jorgensen,rank,0.2747313930583076,0.054106295818912326,0.4953564902977029,0.44125019447879055,1.606114938547055,0.2148760330578512,0.4896074261161589,False
1,3,John O'Hurley,Charlotte Jorgensen,rank,0.309437473548265,0.0888123763088697,0.5300625707876603,0.44125019447879055,1.4259753009842417,0.2264150943396226,0.5358525678878877,False
1,4,John O'Hurley,Charlotte Jorgensen,rank,0.3591364427276414,0.1385113454882461,0.5797615399670367,0.44125019447879066,1.2286422149963265,0.2282608695652173,0.5873973122928589,False
1,5,John O'Hurley,Charlotte Jorgensen,rank,0.4377407751375031,0.2171156778981078,0.6583658723768984,0.44125019447879055,1.0080171177569306,0.3698630136986301,0.8076037888361332,False
1,6,John O'Hurley,Charlotte Jorgensen,rank,0.585786437626905,0.3651613403875097,0.8064115348663002,0.44125019447879055,0.7532611991946262,0.4954128440366973,1.0811992816636022,False
