celebrity_name,ballroom_partner,industry,home_state,home_country,age,season,results,final_placement,industry_clean,home_clean,placement_numeric
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,Actor/Actress,"Maine, United States",2
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,Actor/Actress,"Pennsylvania, United States",1
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,Athlete,"Alabama, United States",5
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,Model,New Zealand,4
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,Singer/Rapper,"Massachusetts, United States",3
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,TV Personality,"Indiana, United States",6
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,Actor/Actress,"California, United States",9
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,Actor/Actress,"Hawaii, United States",6
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,Actor/Actress,"Tennessee, United States",5
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,Actor/Actress,"California, United States",4
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,Athlete,"Maryland, United States",3
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,Athlete,"Mississippi, United States",2
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,News Anchor,Mexico,8
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,Singer/Rapper,"Louisiana, United States",7
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,Singer/Rapper,"Ohio, United States",1
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,Sports Broadcaster,"Washington, United States",10
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,Actor/Actress,"California, United States",9
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,Actor/Actress,"Indiana, United States",8
