season,celebrity_name,weeks_participated,avg_judge_rank,avg_fan_vote,expected_fan_vote,deviation,weeks_below_median,final_placement,ballroom_partner,industry,deviation_index,cluster,cluster_label
1,Evander Holyfield,3,5.0,0.16529543204151936,0.049999999999999996,0.11529543204151937,3,5,Edyta Sliwinska,Athlete,1.1403454045515278,2,Fan-type
1,Joey McIntyre,5,2.8,0.1632819698050624,0.10500000000000001,0.058281969805062395,2,3,Ashly DelGrosso,Singer/Rapper,0.5764458769839219,2,Fan-type
1,John O'Hurley,6,1.6666666666666667,0.3735939858594883,0.13333333333333333,0.24026065252615494,2,2,Charlotte Jorgensen,Actor/Actress,2.3763311880742024,2,Fan-type
1,Kelly Monaco,6,3.1666666666666665,0.2641708408117553,0.09583333333333334,0.16833750747842197,3,1,Alec Mazo,Actor/Actress,1.6649653821284838,2,Fan-type
1,Rachel Hunter,4,1.5,0.15919941292926212,0.13749999999999998,0.02169941292926214,0,4,Jonathan Roberts,Model,0.21462104245759847,0,Judge-type
1,Trista Sutter,2,4.0,0.1121586215528097,0.075,0.037158621552809704,2,6,Louis van Amstel,TV Personality,0.3675224818270042,0,Judge-type
2,Drew Lachey,8,1.25,0.1517706324414152,0.14625,0.0055206324414152075,0,1,Cheryl Burke,Singer/Rapper,0.05460257811878313,0,Judge-type
2,George Hamilton,6,5.333333333333333,0.14179026902864242,0.08499999999999999,0.056790269028642426,5,5,Edyta Sliwinska,Actor/Actress,0.5616920043001898,0,Judge-type
2,Giselle Fernandez,3,3.3333333333333335,0.08300105253307917,0.11499999999999999,-0.03199894746692082,1,8,Jonathan Roberts,News Anchor,-0.3164900122083626,0,Judge-type
2,Jerry Rice,8,4.625,0.23555963909883965,0.09562499999999999,0.13993463909883966,6,2,Anna Trebunskaya,Athlete,1.384042887115196,2,Fan-type
2,Kenny Mayne,1,9.0,0.0629810592156165,0.03,0.032981059215616504,1,10,Andrea Hale,Sports Broadcaster,0.3262037241876705,1,Balanced
2,Lisa Rinna,7,4.142857142857143,0.13090458161331797,0.10285714285714286,0.028047438756175117,3,4,Louis van Amstel,Actor/Actress,0.27740706920224684,0,Judge-type
2,Master P,4,8.5,0.1514483706185099,0.0375,0.1139483706185099,4,7,Ashly DelGrosso,Singer/Rapper,1.1270221073820066,1,Balanced
2,Stacy Keibler,8,1.625,0.13988236212102031,0.140625,-0.000742637878979685,0,3,Tony Dovolani,Athlete,-0.007345162575351736,0,Judge-type
2,Tatum O'Neal,2,5.0,0.13715572650932675,0.09,0.047155726509326756,1,9,Nick Kosovich,Actor/Actress,0.4664002300094142,0,Judge-type
2,Tia Carrere,5,4.8,0.16462721858743387,0.093,0.07162721858743387,2,6,Maksim Chmerkoskiy,Actor/Actress,0.7084389043927954,2,Fan-type
3,Emmitt Smith,10,2.6,0.4840303585452328,0.12818181818181817,0.3558485403634146,1,1,Cheryl Burke,Athlete,3.5195691670911855,2,Fan-type
3,Harry Hamlin,3,6.333333333333333,0.003644047974076667,0.07727272727272727,-0.0736286792986506,2,9,Ashly DelGrosso,Actor/Actress,-0.7282346281609715,0,Judge-type
3,Jerry Springer,7,7.142857142857143,0.016047125827403603,0.06623376623376623,-0.05018664040636263,7,5,Kym Johnson,TV Personality,-0.49637790278340205,0,Judge-type
3,Joey Lawrence,9,2.7777777777777777,0.010159527432636267,0.12575757575757573,-0.11559804832493947,1,3,Edyta Sliwinska,Actor/Actress,-1.1433384727245695,0,Judge-type
3,Mario Lopez,10,2.1,0.4832844969020934,0.135,0.3482844969020934,1,2,Karina Smirnoff,Actor/Actress,3.44475594987856,2,Fan-type
3,Monique Coleman,8,3.25,0.001267109504950819,0.11931818181818181,-0.11805107231323099,3,4,Louis van Amstel,Actor/Actress,-1.1676004454911537,0,Judge-type
3,Sara Evans,5,6.8,0.01901298584180916,0.07090909090909091,-0.05189610506728175,4,6,Tony Dovolani,Singer/Rapper,-0.5132855992619612,0,Judge-type
3,Shanna Moakler,2,6.5,4.266928471793539e-19,0.075,-0.075,2,10,Jesse DeSoto,Model,-0.7417978650755703,0,Judge-type
3,Tucker Carlson,1,11.0,4.454334511373552e-19,0.013636363636363636,-0.013636363636363636,1,11,Elena Grinenko,TV Personality,-0.13487233910464916,1,Balanced
3,Vivica A. Fox,4,2.75,1.0714872261894287e-18,0.12613636363636363,-0.12613636363636363,0,8,Nick Kosovich,Actor/Actress,-1.2475691367180046,0,Judge-type
3,Willa Ford,5,3.0,0.0013903737340603402,0.12272727272727273,-0.12133689899321239,0,7,Maksim Chmerkoskiy,Singer/Rapper,-1.2000993683740677,0,Judge-type
4,Apolo Anton Ohno,10,2.2,0.3178052924154269,0.13363636363636364,0.18416892877906324,1,1,Julianne Hough,Athlete,1.8215482424208518,2,Fan-type
4,Billy Ray Cyrus,8,6.5,0.027518506628717264,0.075,-0.04748149337128273,6,5,Karina Smirnoff,Singer/Rapper,-0.4696222721788984,0,Judge-type
4,Clyde Drexler,5,9.4,0.02200080488863604,0.03545454545454545,-0.013453740565909408,5,8,Elena Grinenko,Athlete,-0.13306608038762927,1,Balanced
4,Heather Mills,6,4.166666666666667,8.090410248916932e-05,0.1068181818181818,-0.10673727771569264,3,7,Jonathan Roberts,Model,-1.0556997964463872,0,Judge-type
4,Ian Ziering,9,3.4444444444444446,0.002764307570740689,0.11666666666666667,-0.11390235909592598,2,4,Cheryl Burke,Actor/Actress,-1.1265670240590515,0,Judge-type
4,Joey Fatone,10,1.8,0.3178052927702354,0.13909090909090907,0.17871438367932632,0,2,Kym Johnson,Singer/Rapper,1.767599310288275,2,Fan-type
4,John Ratzenberger,7,6.857142857142857,0.0145443552474054,0.07012987012987014,-0.05558551488246474,6,6,Edyta Sliwinska,Actor/Actress,-0.5497762169191825,0,Judge-type
4,Laila Ali,10,2.5,0.3178052913280348,0.12954545454545455,0.18825983678258026,2,3,Maksim Chmerkoskiy,Athlete,1.862009933397245,2,Fan-type
