season,divergence_week,diverged,eliminations_pct,eliminations_rank,final_survivors_pct,final_survivors_rank
1,,False,"[{'week': 2, 'eliminated': 'Trista Sutter', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Evander Holyfield', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Joey McIntyre', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Trista Sutter', 'method': 'rank'}, {'week': 3, 'eliminated': 'Evander Holyfield', 'method': 'rank'}, {'week': 4, 'eliminated': 'Joey McIntyre', 'method': 'rank'}]","['Rachel Hunter', ""John O'Hurley"", 'Kelly Monaco']","['Rachel Hunter', ""John O'Hurley"", 'Kelly Monaco']"
2,6.0,True,"[{'week': 1, 'eliminated': 'Kenny Mayne', 'method': 'percentage'}, {'week': 2, 'eliminated': ""Tatum O'Neal"", 'method': 'percentage'}, {'week': 3, 'eliminated': 'Jerry Rice', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Master P', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Drew Lachey', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Lisa Rinna', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Kenny Mayne', 'method': 'rank'}, {'week': 2, 'eliminated': ""Tatum O'Neal"", 'method': 'rank'}, {'week': 3, 'eliminated': 'Jerry Rice', 'method': 'rank'}, {'week': 4, 'eliminated': 'Master P', 'method': 'rank'}, {'week': 5, 'eliminated': 'Drew Lachey', 'method': 'rank'}, {'week': 6, 'eliminated': 'George Hamilton', 'method': 'rank'}, {'week': 7, 'eliminated': 'Lisa Rinna', 'method': 'rank'}]","['Stacy Keibler', 'Tia Carrere', 'George Hamilton', 'Giselle Fernandez']","['Stacy Keibler', 'Tia Carrere', 'Giselle Fernandez']"
3,2.0,True,"[{'week': 1, 'eliminated': 'Tucker Carlson', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Harry Hamlin', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Willa Ford', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Sara Evans', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Jerry Springer', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Monique Coleman', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Joey Lawrence', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Tucker Carlson', 'method': 'rank'}, {'week': 2, 'eliminated': 'Shanna Moakler', 'method': 'rank'}, {'week': 3, 'eliminated': 'Jerry Springer', 'method': 'rank'}, {'week': 4, 'eliminated': 'Monique Coleman', 'method': 'rank'}, {'week': 5, 'eliminated': 'Joey Lawrence', 'method': 'rank'}, {'week': 7, 'eliminated': 'Mario Lopez', 'method': 'rank'}]","['Emmitt Smith', 'Shanna Moakler', 'Vivica A. Fox', 'Mario Lopez']","['Sara Evans', 'Emmitt Smith', 'Vivica A. Fox', 'Harry Hamlin', 'Willa Ford']"
4,2.0,True,"[{'week': 2, 'eliminated': 'Leeza Gibbons', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Clyde Drexler', 'method': 'percentage'}, {'week': 4, 'eliminated': 'John Ratzenberger', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Heather Mills', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Ian Ziering', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Billy Ray Cyrus', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Laila Ali', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Apolo Anton Ohno', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Shandi Finnessey', 'method': 'rank'}, {'week': 3, 'eliminated': 'Clyde Drexler', 'method': 'rank'}, {'week': 4, 'eliminated': 'Leeza Gibbons', 'method': 'rank'}, {'week': 5, 'eliminated': 'Heather Mills', 'method': 'rank'}, {'week': 6, 'eliminated': 'John Ratzenberger', 'method': 'rank'}, {'week': 7, 'eliminated': 'Billy Ray Cyrus', 'method': 'rank'}, {'week': 8, 'eliminated': 'Ian Ziering', 'method': 'rank'}, {'week': 9, 'eliminated': 'Apolo Anton Ohno', 'method': 'rank'}]","['Shandi Finnessey', 'Joey Fatone', 'Paulina Porizkova']","['Laila Ali', 'Joey Fatone', 'Paulina Porizkova']"
5,2.0,True,"[{'week': 1, 'eliminated': 'Josie Maran', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Wayne Newton', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Mark Cuban', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Floyd Mayweather Jr. ', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Jennie Garth', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Jane Seymour', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Cameron Mathison', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Marie Osmond', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Helio Castroneves', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Josie Maran', 'method': 'rank'}, {'week': 2, 'eliminated': 'Cameron Mathison', 'method': 'rank'}, {'week': 3, 'eliminated': 'Floyd Mayweather Jr. ', 'method': 'rank'}, {'week': 4, 'eliminated': 'Mark Cuban', 'method': 'rank'}, {'week': 5, 'eliminated': 'Jennie Garth', 'method': 'rank'}, {'week': 6, 'eliminated': 'Jane Seymour', 'method': 'rank'}, {'week': 7, 'eliminated': 'Helio Castroneves', 'method': 'rank'}, {'week': 8, 'eliminated': 'Marie Osmond', 'method': 'rank'}]","['Mel B', 'Sabrina Bryan', 'Albert Reed']","['Wayne Newton', 'Mel B', 'Sabrina Bryan', 'Albert Reed']"
6,,False,"[{'week': 2, 'eliminated': 'Monica Seles', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Steve Guttenberg', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Adam Carolla', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Priscilla Presley', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Marlee Matlin', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Shannon Elizabeth', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Marissa Jaret Winokur', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Jason Taylor', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Monica Seles', 'method': 'rank'}, {'week': 3, 'eliminated': 'Steve Guttenberg', 'method': 'rank'}, {'week': 4, 'eliminated': 'Adam Carolla', 'method': 'rank'}, {'week': 5, 'eliminated': 'Priscilla Presley', 'method': 'rank'}, {'week': 6, 'eliminated': 'Marlee Matlin', 'method': 'rank'}, {'week': 7, 'eliminated': 'Shannon Elizabeth', 'method': 'rank'}, {'week': 8, 'eliminated': 'Marissa Jaret Winokur', 'method': 'rank'}, {'week': 9, 'eliminated': 'Jason Taylor', 'method': 'rank'}]","['Kristi Yamaguchi', 'Cristian de la Fuente', 'Mario', 'Penn Jillette']","['Kristi Yamaguchi', 'Cristian de la Fuente', 'Mario', 'Penn Jillette']"
7,1.0,True,"[{'week': 1, 'eliminated': 'Jeffrey Ross', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Rocco DiSpirito', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Maurice Greene', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Susan Lucci', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Cloris Leachman', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Cody Linley', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Lance Bass', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Warren Sapp', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Susan Lucci', 'method': 'rank'}, {'week': 2, 'eliminated': 'Kim Kardashian', 'method': 'rank'}, {'week': 4, 'eliminated': 'Maurice Greene', 'method': 'rank'}, {'week': 5, 'eliminated': 'Cloris Leachman', 'method': 'rank'}, {'week': 6, 'eliminated': 'Cody Linley', 'method': 'rank'}, {'week': 7, 'eliminated': 'Lance Bass', 'method': 'rank'}, {'week': 8, 'eliminated': 'Brooke Burke', 'method': 'rank'}]","['Misty May-Treanor', 'Kim Kardashian', 'Ted McGinley', 'Toni Braxton', 'Brooke Burke']","['Misty May-Treanor', 'Jeffrey Ross', 'Rocco DiSpirito', 'Ted McGinley', 'Warren Sapp', 'Toni Braxton']"
8,3.0,True,"[{'week': 2, 'eliminated': 'David Alan Grier', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Steve Wozniak', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Holly Madison', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Steve-O', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Lawrence Taylor', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Chuck Wicks', 'method': 'percentage'}, {'week': 8, 'eliminated': ""Lil' Kim"", 'method': 'percentage'}, {'week': 9, 'eliminated': 'Ty Murray', 'method': 'percentage'}, {'week': 10, 'eliminated': 'Melissa Rycroft', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'David Alan Grier', 'method': 'rank'}, {'week': 3, 'eliminated': 'Denise Richards', 'method': 'rank'}, {'week': 4, 'eliminated': 'Holly Madison', 'method': 'rank'}, {'week': 5, 'eliminated': 'Lawrence Taylor', 'method': 'rank'}, {'week': 6, 'eliminated': 'Steve-O', 'method': 'rank'}, {'week': 7, 'eliminated': ""Lil' Kim"", 'method': 'rank'}, {'week': 8, 'eliminated': 'Chuck Wicks', 'method': 'rank'}, {'week': 9, 'eliminated': 'Ty Murray', 'method': 'rank'}, {'week': 10, 'eliminated': 'Melissa Rycroft', 'method': 'rank'}]","['Shawn Johnson', 'Gilles Marini', 'Denise Richards', 'Belinda Carlisle']","['Shawn Johnson', 'Gilles Marini', 'Steve Wozniak', 'Belinda Carlisle']"
9,3.0,True,"[{'week': 1, 'eliminated': 'Ashley Hamiliton', 'method': 'percentage'}, {'week': 2, 'eliminated': 'Kathy Ireland', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Michael Irvin', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Louie Vito', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Natalie Coughlin', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Melissa Joan Hart', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Mark Dacascos', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Aaron Carter', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Joanna Krupa', 'method': 'percentage'}]","[{'week': 1, 'eliminated': 'Ashley Hamiliton', 'method': 'rank'}, {'week': 2, 'eliminated': 'Kathy Ireland', 'method': 'rank'}, {'week': 3, 'eliminated': 'Debi Mazar', 'method': 'rank'}, {'week': 4, 'eliminated': 'Chuck Liddell', 'method': 'rank'}, {'week': 5, 'eliminated': 'Melissa Joan Hart', 'method': 'rank'}, {'week': 6, 'eliminated': 'Louie Vito', 'method': 'rank'}, {'week': 7, 'eliminated': 'Mark Dacascos', 'method': 'rank'}, {'week': 8, 'eliminated': 'Aaron Carter', 'method': 'rank'}, {'week': 9, 'eliminated': 'Joanna Krupa', 'method': 'rank'}]","['Macy Gray', 'Kelly Osbourne', 'Mya', 'Chuck Liddell', 'Debi Mazar', 'Donny Osmond', 'Tom DeLay']","['Michael Irvin', 'Macy Gray', 'Kelly Osbourne', 'Mya', 'Natalie Coughlin', 'Donny Osmond', 'Tom DeLay']"
10,2.0,True,"[{'week': 2, 'eliminated': 'Buzz Aldrin', 'method': 'percentage'}, {'week': 3, 'eliminated': 'Kate Gosselin', 'method': 'percentage'}, {'week': 4, 'eliminated': 'Aiden Turner', 'method': 'percentage'}, {'week': 5, 'eliminated': 'Niecy Nash', 'method': 'percentage'}, {'week': 6, 'eliminated': 'Jake Pavelka', 'method': 'percentage'}, {'week': 7, 'eliminated': 'Pamela Anderson', 'method': 'percentage'}, {'week': 8, 'eliminated': 'Chad Ochocinco', 'method': 'percentage'}, {'week': 9, 'eliminated': 'Erin Andrews', 'method': 'percentage'}]","[{'week': 2, 'eliminated': 'Shannen Doherty', 'method': 'rank'}, {'week': 3, 'eliminated': 'Aiden Turner', 'method': 'rank'}, {'week': 4, 'eliminated': 'Jake Pavelka', 'method': 'rank'}, {'week': 5, 'eliminated': 'Kate Gosselin', 'method': 'rank'}, {'week': 6, 'eliminated': 'Niecy Nash', 'method': 'rank'}, {'week': 7, 'eliminated': 'Pamela Anderson', 'method': 'rank'}, {'week': 8, 'eliminated': 'Chad Ochocinco', 'method': 'rank'}, {'week': 9, 'eliminated': 'Erin Andrews', 'method': 'rank'}]","['Shannen Doherty', 'Nicole Scherzinger', 'Evan Lysacek']","['Nicole Scherzinger', 'Buzz Aldrin', 'Evan Lysacek']"
