feature,importance
age,0.44697617237414833
ballroom_partner_Derek Hough,0.04293848864154296
ballroom_partner_Valentin Chmerkovskiy,0.04240314415821799
industry_clean_Athlete,0.034891080626607375
ballroom_partner_Chelsie Hightower,0.03208853976873877
ballroom_partner_Cheryl Burke,0.02889214707269327
ballroom_partner_Kym Johnson,0.026988736039292166
ballroom_partner_Charlotte Jorgensen,0.025041262461771793
ballroom_partner_Mark Ballas,0.024359181439637344
home_country_clean_Chile,0.02259698700450408
ballroom_partner_Sasha Farber,0.01965292696741455
industry_clean_Singer/Rapper,0.015745412402525458
ballroom_partner_Sharna Burgess,0.015342989692209706
ballroom_partner_Tony Dovolani,0.01468270307499957
ballroom_partner_Emma Slater,0.014377016764229538
home_country_clean_United States,0.014035664453032727
ballroom_partner_Jonathan Roberts,0.012641160569531525
ballroom_partner_Lindsay Arnold,0.011499058913470077
ballroom_partner_Keo Motsepe,0.010453684775794399
industry_clean_TV Personality,0.009906417528260108
ballroom_partner_Lacey Schwimmer,0.009737907938916412
ballroom_partner_Witney Carson,0.008442749965785737
industry_clean_Comedian,0.008373832642111938
industry_clean_Racing Driver,0.007444351315759383
ballroom_partner_Maksim Chmerkoskiy,0.006416986480358549
industry_clean_Model,0.006203913767384999
ballroom_partner_Peta Murgatroyd,0.005842926135981259
ballroom_partner_Edyta Sliwinska,0.005803840604462801
home_country_clean_England,0.005771945617401453
home_country_clean_Canada,0.005048588810178636
ballroom_partner_Karina Smirnoff,0.004759714756924494
industry_clean_Radio Personality,0.00464593054656538
ballroom_partner_Artem Chigvintsev,0.004304809925239687
ballroom_partner_Louis van Amstel,0.0042554074480586086
home_country_clean_Wales,0.0041307333075442775
industry_clean_Sports Broadcaster,0.0036180304829129427
ballroom_partner_Pasha Pashkov,0.0032941230626803565
home_country_clean_Cuba,0.0032664960434776423
ballroom_partner_Elena Grinenko,0.003114953728859253
home_country_clean_South Korea,0.0027504529475764873
industry_clean_Motivational Speaker,0.0027301414856533805
ballroom_partner_Julianne Hough,0.0020682322386907535
home_country_clean_Russia,0.0019997238238053717
ballroom_partner_Allison Holker,0.0018524855278915357
industry_clean_Fitness Instructor,0.0018402489819438791
industry_clean_Social Media Personality,0.0018265178161805565
home_country_clean_Brazil,0.001543903093510264
ballroom_partner_Gleb Savchenko,0.0011776018194874704
ballroom_partner_Brandon Armstrong,0.0011720845550337055
home_country_clean_Italy,0.0011651639156226997
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.0011644626536056193
ballroom_partner_Daniella Karagach,0.0011085208372597838
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),0.0010191335695852002
industry_clean_Politician,0.0007797624594843
ballroom_partner_Ashly DelGrosso,0.0007136751713771476
ballroom_partner_Britt Stewart,0.0006313665940976748
industry_clean_Musician,0.0006097905296532696
ballroom_partner_Koko Iwasaki,0.0005067197024041399
home_country_clean_Mexico,0.0004436472434408157
home_country_clean_France,0.00042104047984827664
industry_clean_News Anchor,0.0004015312703201449
ballroom_partner_Anna Trebunskaya,0.0003797952437189516
home_country_clean_Poland,0.0003755014538653033
home_country_clean_New Zealand,0.0002805719187633737
industry_clean_Journalist,0.0001543327947194208
ballroom_partner_Dmitry Chaplin,0.00014349893431175648
home_country_clean_Australia,0.0001310975658665361
home_country_clean_South Africa,0.00011381693122718606
industry_clean_Producer,0.00010782164474812048
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),0.00010075804028919251
industry_clean_Social media personality,6.528303495717311e-05
ballroom_partner_Jenna Johnson,6.28130994436306e-05
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),5.872011429320874e-05
home_country_clean_Taiwan China,4.364682935389365e-05
ballroom_partner_Alan Bersten (Rashad Jennings week 9),3.377506516177886e-05
home_country_clean_Croatia,1.255110756106022e-05
industry_clean_Conservationist,9.111717230247324e-06
industry_clean_Entrepreneur,7.882368616117905e-06
industry_clean_Astronaut,1.3101672444804087e-06
home_country_clean_Spain,5.331968828909128e-07
home_country_clean_Czechoslovakia,5.180331694494585e-07
industry_clean_Fashion Designer,2.645275305763459e-07
home_country_clean_Philippines,1.522649171890582e-07
home_country_clean_Germany,1.8057411327551766e-08
home_country_clean_Yugoslavia,1.862987516102281e-09
ballroom_partner_Jesse DeSoto,3.153406248179389e-14
industry_clean_Military,0.0
ballroom_partner_Inna Brayer,0.0
ballroom_partner_Alec Mazo,0.0
home_country_clean_Venezuela,0.0
ballroom_partner_Andrea Hale,0.0
ballroom_partner_Anna Demidova,0.0
ballroom_partner_Brian Fortuna,0.0
ballroom_partner_Corky Ballas,0.0
ballroom_partner_Damian Whitewood,0.0
ballroom_partner_Ezra Sosa,0.0
ballroom_partner_Fabian Sanchez,0.0
ballroom_partner_Henry Byalikov,0.0
ballroom_partner_Jan Ravnik,0.0
industry_clean_Magician,0.0
home_country_clean_Ireland,0.0
ballroom_partner_Kym Herjavec,0.0
ballroom_partner_Nick Kosovich,0.0
ballroom_partner_Rylee Arnold,0.0
ballroom_partner_Tristan MacManus,0.0
ballroom_partner_Tyne Stecklein,0.0
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.0
industry_clean_Beauty Pagent,0.0
industry_clean_Con artist,0.0
ballroom_partner_Val Chmerkovskiy,0.0
