season,week,celebrity_name,ballroom_partner,fan_vote_percent,age,industry_clean,home_state_clean,home_country_clean
1,1,Evander Holyfield,Edyta Sliwinska,0.1586162437370548,42,Athlete,Alabama,United States
1,1,Joey McIntyre,Ashly DelGrosso,0.1228636140863179,32,Singer/Rapper,Massachusetts,United States
1,1,John O'Hurley,Charlotte Jorgensen,0.2747313930583076,50,Actor/Actress,Maine,United States
1,1,Kelly Monaco,Alec Mazo,0.1942644310363561,29,Actor/Actress,Pennsylvania,United States
1,1,Rachel Hunter,Jonathan Roberts,0.1373656965291538,35,Model,Unknown,New Zealand
1,1,Trista Sutter,Louis van Amstel,0.1121586215528097,32,TV Personality,Indiana,United States
1,2,Evander Holyfield,Edyta Sliwinska,0.1586162437370548,42,Athlete,Alabama,United States
1,2,Joey McIntyre,Ashly DelGrosso,0.1228636140863179,32,Singer/Rapper,Massachusetts,United States
1,2,John O'Hurley,Charlotte Jorgensen,0.2747313930583076,50,Actor/Actress,Maine,United States
1,2,Kelly Monaco,Alec Mazo,0.1942644310363561,29,Actor/Actress,Pennsylvania,United States
1,2,Rachel Hunter,Jonathan Roberts,0.1373656965291538,35,Model,Unknown,New Zealand
1,2,Trista Sutter,Louis van Amstel,0.1121586215528097,32,TV Personality,Indiana,United States
1,3,Evander Holyfield,Edyta Sliwinska,0.1786538086504485,42,Athlete,Alabama,United States
1,3,Joey McIntyre,Ashly DelGrosso,0.1383846451279427,32,Singer/Rapper,Massachusetts,United States
1,3,John O'Hurley,Charlotte Jorgensen,0.309437473548265,50,Actor/Actress,Maine,United States
1,3,Kelly Monaco,Alec Mazo,0.2188053358992111,29,Actor/Actress,Pennsylvania,United States
1,3,Rachel Hunter,Jonathan Roberts,0.1547187367741325,35,Model,Unknown,New Zealand
1,4,Joey McIntyre,Ashly DelGrosso,0.1795682213638207,32,Singer/Rapper,Massachusetts,United States
1,4,John O'Hurley,Charlotte Jorgensen,0.3591364427276414,50,Actor/Actress,Maine,United States
1,4,Kelly Monaco,Alec Mazo,0.2539478140239294,29,Actor/Actress,Pennsylvania,United States
1,4,Rachel Hunter,Jonathan Roberts,0.2073475218846084,35,Model,Unknown,New Zealand
1,5,Joey McIntyre,Ashly DelGrosso,0.2527297543609129,32,Singer/Rapper,Massachusetts,United States
1,5,John O'Hurley,Charlotte Jorgensen,0.4377407751375031,50,Actor/Actress,Maine,United States
1,5,Kelly Monaco,Alec Mazo,0.3095294705015841,29,Actor/Actress,Pennsylvania,United States
1,6,John O'Hurley,Charlotte Jorgensen,0.585786437626905,50,Actor/Actress,Maine,United States
1,6,Kelly Monaco,Alec Mazo,0.414213562373095,29,Actor/Actress,Pennsylvania,United States
2,1,Drew Lachey,Cheryl Burke,0.066387865523762,29,Singer/Rapper,Ohio,United States
2,1,George Hamilton,Edyta Sliwinska,0.1149871560932061,66,Actor/Actress,Tennessee,United States
2,1,Giselle Fernandez,Jonathan Roberts,0.0752767638206885,44,News Anchor,Unknown,Mexico
2,1,Jerry Rice,Anna Trebunskaya,0.081308197822862,43,Athlete,Mississippi,United States
2,1,Kenny Mayne,Andrea Hale,0.0629810592156165,46,Sports Broadcaster,Washington,United States
2,1,Lisa Rinna,Louis van Amstel,0.099581798285643,42,Actor/Actress,California,United States
2,1,Master P,Ashly DelGrosso,0.0704149648505291,35,Singer/Rapper,Louisiana,United States
2,1,Stacy Keibler,Tony Dovolani,0.0890686681153479,26,Athlete,Maryland,United States
2,1,Tatum O'Neal,Nick Kosovich,0.1991635965712861,42,Actor/Actress,California,United States
2,1,Tia Carrere,Maksim Chmerkoskiy,0.1408299297010582,39,Actor/Actress,Hawaii,United States
2,2,Drew Lachey,Cheryl Burke,0.0708500785140889,29,Singer/Rapper,Ohio,United States
2,2,George Hamilton,Edyta Sliwinska,0.1227159357066462,66,Actor/Actress,Tennessee,United States
2,2,Giselle Fernandez,Jonathan Roberts,0.08033643776472,44,News Anchor,Unknown,Mexico
2,2,Jerry Rice,Anna Trebunskaya,0.0867732702978219,43,Athlete,Mississippi,United States
2,2,Lisa Rinna,Louis van Amstel,0.1062751177711334,42,Actor/Actress,California,United States
2,2,Master P,Ashly DelGrosso,0.2125502355422669,35,Singer/Rapper,Louisiana,United States
2,2,Stacy Keibler,Tony Dovolani,0.0950553550612201,26,Athlete,Maryland,United States
2,2,Tatum O'Neal,Nick Kosovich,0.0751478564473674,42,Actor/Actress,California,United States
2,2,Tia Carrere,Maksim Chmerkoskiy,0.1502957128947348,39,Actor/Actress,Hawaii,United States
2,3,Drew Lachey,Cheryl Burke,0.0808780743662872,29,Singer/Rapper,Ohio,United States
2,3,George Hamilton,Edyta Sliwinska,0.1320733423841837,66,Actor/Actress,Tennessee,United States
2,3,Giselle Fernandez,Jonathan Roberts,0.093389956013829,44,News Anchor,Unknown,Mexico
2,3,Jerry Rice,Anna Trebunskaya,0.0864622983944773,43,Athlete,Mississippi,United States
2,3,Lisa Rinna,Louis van Amstel,0.1143788696674231,42,Actor/Actress,California,United States
2,3,Master P,Ashly DelGrosso,0.2287577393348463,35,Singer/Rapper,Louisiana,United States
2,3,Stacy Keibler,Tony Dovolani,0.1023035711063787,26,Athlete,Maryland,United States
2,3,Tia Carrere,Maksim Chmerkoskiy,0.1617561487325744,39,Actor/Actress,Hawaii,United States
2,4,Drew Lachey,Cheryl Burke,0.1016077991496491,29,Singer/Rapper,Ohio,United States
2,4,George Hamilton,Edyta Sliwinska,0.1436951276003152,66,Actor/Actress,Tennessee,United States
2,4,Jerry Rice,Anna Trebunskaya,0.2488872618038387,43,Athlete,Mississippi,United States
2,4,Lisa Rinna,Louis van Amstel,0.1244436309019193,42,Actor/Actress,California,United States
2,4,Master P,Ashly DelGrosso,0.0940705427463974,35,Singer/Rapper,Louisiana,United States
2,4,Stacy Keibler,Tony Dovolani,0.111305767225434,26,Athlete,Maryland,United States
2,4,Tia Carrere,Maksim Chmerkoskiy,0.1759898705724459,39,Actor/Actress,Hawaii,United States
