season,week,celebrity_name,ballroom_partner,judge_avg_score,judge_total,age,industry_clean,home_state_clean,home_country_clean
1,1,Evander Holyfield,Edyta Sliwinska,6.0,18.0,42,Athlete,Alabama,United States
1,1,Joey McIntyre,Ashly DelGrosso,6.666666666666667,20.0,32,Singer/Rapper,Massachusetts,United States
1,1,John O'Hurley,Charlotte Jorgensen,6.666666666666667,20.0,50,Actor/Actress,Maine,United States
1,1,Kelly Monaco,Alec Mazo,4.333333333333333,13.0,29,Actor/Actress,Pennsylvania,United States
1,1,Rachel Hunter,Jonathan Roberts,6.666666666666667,20.0,35,Model,Unknown,New Zealand
1,1,Trista Sutter,Louis van Amstel,6.0,18.0,32,TV Personality,Indiana,United States
1,2,Evander Holyfield,Edyta Sliwinska,4.666666666666667,14.0,42,Athlete,Alabama,United States
1,2,Joey McIntyre,Ashly DelGrosso,7.0,21.0,32,Singer/Rapper,Massachusetts,United States
1,2,John O'Hurley,Charlotte Jorgensen,8.666666666666666,26.0,50,Actor/Actress,Maine,United States
1,2,Kelly Monaco,Alec Mazo,5.666666666666667,17.0,29,Actor/Actress,Pennsylvania,United States
1,2,Rachel Hunter,Jonathan Roberts,8.0,24.0,35,Model,Unknown,New Zealand
1,2,Trista Sutter,Louis van Amstel,6.333333333333333,19.0,32,TV Personality,Indiana,United States
1,3,Evander Holyfield,Edyta Sliwinska,4.333333333333333,13.0,42,Athlete,Alabama,United States
1,3,Joey McIntyre,Ashly DelGrosso,7.333333333333333,22.0,32,Singer/Rapper,Massachusetts,United States
1,3,John O'Hurley,Charlotte Jorgensen,8.0,24.0,50,Actor/Actress,Maine,United States
1,3,Kelly Monaco,Alec Mazo,7.0,21.0,29,Actor/Actress,Pennsylvania,United States
1,3,Rachel Hunter,Jonathan Roberts,8.666666666666666,26.0,35,Model,Unknown,New Zealand
1,4,Joey McIntyre,Ashly DelGrosso,6.666666666666667,20.0,32,Singer/Rapper,Massachusetts,United States
1,4,John O'Hurley,Charlotte Jorgensen,7.0,21.0,50,Actor/Actress,Maine,United States
1,4,Kelly Monaco,Alec Mazo,8.666666666666666,26.0,29,Actor/Actress,Pennsylvania,United States
1,4,Rachel Hunter,Jonathan Roberts,8.333333333333334,25.0,35,Model,Unknown,New Zealand
1,5,Joey McIntyre,Ashly DelGrosso,7.5,22.5,32,Singer/Rapper,Massachusetts,United States
1,5,John O'Hurley,Charlotte Jorgensen,9.0,27.0,50,Actor/Actress,Maine,United States
1,5,Kelly Monaco,Alec Mazo,7.833333333333333,23.5,29,Actor/Actress,Pennsylvania,United States
1,6,John O'Hurley,Charlotte Jorgensen,9.0,27.0,50,Actor/Actress,Maine,United States
1,6,Kelly Monaco,Alec Mazo,9.166666666666666,27.5,29,Actor/Actress,Pennsylvania,United States
2,1,Drew Lachey,Cheryl Burke,8.0,24.0,29,Singer/Rapper,Ohio,United States
2,1,George Hamilton,Edyta Sliwinska,6.0,18.0,66,Actor/Actress,Tennessee,United States
2,1,Giselle Fernandez,Jonathan Roberts,7.666666666666667,23.0,44,News Anchor,Unknown,Mexico
2,1,Jerry Rice,Anna Trebunskaya,7.0,21.0,43,Athlete,Mississippi,United States
2,1,Kenny Mayne,Andrea Hale,4.333333333333333,13.0,46,Sports Broadcaster,Washington,United States
2,1,Lisa Rinna,Louis van Amstel,6.333333333333333,19.0,42,Actor/Actress,California,United States
2,1,Master P,Ashly DelGrosso,4.0,12.0,35,Singer/Rapper,Louisiana,United States
2,1,Stacy Keibler,Tony Dovolani,7.333333333333333,22.0,26,Athlete,Maryland,United States
2,1,Tatum O'Neal,Nick Kosovich,7.666666666666667,23.0,42,Actor/Actress,California,United States
2,1,Tia Carrere,Maksim Chmerkoskiy,6.666666666666667,20.0,39,Actor/Actress,Hawaii,United States
2,2,Drew Lachey,Cheryl Burke,9.0,27.0,29,Singer/Rapper,Ohio,United States
2,2,George Hamilton,Edyta Sliwinska,7.333333333333333,22.0,66,Actor/Actress,Tennessee,United States
2,2,Giselle Fernandez,Jonathan Roberts,8.0,24.0,44,News Anchor,Unknown,Mexico
2,2,Jerry Rice,Anna Trebunskaya,7.666666666666667,23.0,43,Athlete,Mississippi,United States
2,2,Lisa Rinna,Louis van Amstel,6.666666666666667,20.0,42,Actor/Actress,California,United States
2,2,Master P,Ashly DelGrosso,5.333333333333333,16.0,35,Singer/Rapper,Louisiana,United States
2,2,Stacy Keibler,Tony Dovolani,9.666666666666666,29.0,26,Athlete,Maryland,United States
2,2,Tatum O'Neal,Nick Kosovich,5.666666666666667,17.0,42,Actor/Actress,California,United States
2,2,Tia Carrere,Maksim Chmerkoskiy,7.333333333333333,22.0,39,Actor/Actress,Hawaii,United States
2,3,Drew Lachey,Cheryl Burke,9.0,27.0,29,Singer/Rapper,Ohio,United States
2,3,George Hamilton,Edyta Sliwinska,7.333333333333333,22.0,66,Actor/Actress,Tennessee,United States
2,3,Giselle Fernandez,Jonathan Roberts,7.333333333333333,22.0,44,News Anchor,Unknown,Mexico
2,3,Jerry Rice,Anna Trebunskaya,6.333333333333333,19.0,43,Athlete,Mississippi,United States
2,3,Lisa Rinna,Louis van Amstel,8.333333333333334,25.0,42,Actor/Actress,California,United States
2,3,Master P,Ashly DelGrosso,4.666666666666667,14.0,35,Singer/Rapper,Louisiana,United States
2,3,Stacy Keibler,Tony Dovolani,9.0,27.0,26,Athlete,Maryland,United States
2,3,Tia Carrere,Maksim Chmerkoskiy,8.666666666666666,26.0,39,Actor/Actress,Hawaii,United States
2,4,Drew Lachey,Cheryl Burke,9.333333333333334,28.0,29,Singer/Rapper,Ohio,United States
2,4,George Hamilton,Edyta Sliwinska,7.0,21.0,66,Actor/Actress,Tennessee,United States
2,4,Jerry Rice,Anna Trebunskaya,8.0,24.0,43,Athlete,Mississippi,United States
2,4,Lisa Rinna,Louis van Amstel,8.666666666666666,26.0,42,Actor/Actress,California,United States
2,4,Master P,Ashly DelGrosso,2.6666666666666665,8.0,35,Singer/Rapper,Louisiana,United States
2,4,Stacy Keibler,Tony Dovolani,8.666666666666666,26.0,26,Athlete,Maryland,United States
2,4,Tia Carrere,Maksim Chmerkoskiy,8.333333333333334,25.0,39,Actor/Actress,Hawaii,United States
2,5,Drew Lachey,Cheryl Burke,9.0,27.0,29,Singer/Rapper,Ohio,United States
2,5,George Hamilton,Edyta Sliwinska,8.0,24.0,66,Actor/Actress,Tennessee,United States
2,5,Jerry Rice,Anna Trebunskaya,7.666666666666667,23.0,43,Athlete,Mississippi,United States
2,5,Lisa Rinna,Louis van Amstel,8.333333333333334,25.0,42,Actor/Actress,California,United States
2,5,Stacy Keibler,Tony Dovolani,10.0,30.0,26,Athlete,Maryland,United States
2,5,Tia Carrere,Maksim Chmerkoskiy,7.333333333333333,22.0,39,Actor/Actress,Hawaii,United States
2,6,Drew Lachey,Cheryl Burke,10.0,30.0,29,Singer/Rapper,Ohio,United States
2,6,George Hamilton,Edyta Sliwinska,7.666666666666667,23.0,66,Actor/Actress,Tennessee,United States
2,6,Jerry Rice,Anna Trebunskaya,7.666666666666667,23.0,43,Athlete,Mississippi,United States
2,6,Lisa Rinna,Louis van Amstel,9.0,27.0,42,Actor/Actress,California,United States
2,6,Stacy Keibler,Tony Dovolani,10.0,30.0,26,Athlete,Maryland,United States
2,7,Drew Lachey,Cheryl Burke,9.166666666666666,27.5,29,Singer/Rapper,Ohio,United States
2,7,Jerry Rice,Anna Trebunskaya,6.833333333333333,20.5,43,Athlete,Mississippi,United States
2,7,Lisa Rinna,Louis van Amstel,8.833333333333334,26.5,42,Actor/Actress,California,United States
2,7,Stacy Keibler,Tony Dovolani,9.166666666666666,27.5,26,Athlete,Maryland,United States
2,8,Drew Lachey,Cheryl Burke,9.6666,28.9998,29,Singer/Rapper,Ohio,United States
2,8,Jerry Rice,Anna Trebunskaya,8.888866666666667,26.666600000000003,43,Athlete,Mississippi,United States
2,8,Stacy Keibler,Tony Dovolani,9.5555,28.6665,26,Athlete,Maryland,United States
3,1,Emmitt Smith,Cheryl Burke,8.0,24.0,37,Athlete,Florida,United States
3,1,Harry Hamlin,Ashly DelGrosso,5.666666666666667,17.0,54,Actor/Actress,California,United States
3,1,Jerry Springer,Kym Johnson,5.333333333333333,16.0,62,TV Personality,Unknown,England
3,1,Joey Lawrence,Edyta Sliwinska,7.0,21.0,30,Actor/Actress,Pennsylvania,United States
3,1,Mario Lopez,Karina Smirnoff,8.666666666666666,26.0,32,Actor/Actress,California,United States
3,1,Monique Coleman,Louis van Amstel,6.333333333333333,19.0,25,Actor/Actress,South Carolina,United States
3,1,Sara Evans,Tony Dovolani,5.0,15.0,35,Singer/Rapper,Missouri,United States
3,1,Shanna Moakler,Jesse DeSoto,6.0,18.0,31,Model,Rhode Island,United States
3,1,Tucker Carlson,Elena Grinenko,4.0,12.0,37,TV Personality,California,United States
3,1,Vivica A. Fox,Nick Kosovich,7.333333333333333,22.0,42,Actor/Actress,Indiana,United States
3,1,Willa Ford,Maksim Chmerkoskiy,7.333333333333333,22.0,25,Singer/Rapper,Florida,United States
3,2,Emmitt Smith,Cheryl Burke,8.0,24.0,37,Athlete,Florida,United States
3,2,Harry Hamlin,Ashly DelGrosso,7.0,21.0,54,Actor/Actress,California,United States
3,2,Jerry Springer,Kym Johnson,6.333333333333333,19.0,62,TV Personality,Unknown,England
3,2,Joey Lawrence,Edyta Sliwinska,9.666666666666666,29.0,30,Actor/Actress,Pennsylvania,United States
3,2,Mario Lopez,Karina Smirnoff,7.0,21.0,32,Actor/Actress,California,United States
3,2,Monique Coleman,Louis van Amstel,8.666666666666666,26.0,25,Actor/Actress,South Carolina,United States
3,2,Sara Evans,Tony Dovolani,7.0,21.0,35,Singer/Rapper,Missouri,United States
3,2,Shanna Moakler,Jesse DeSoto,7.333333333333333,22.0,31,Model,Rhode Island,United States
3,2,Vivica A. Fox,Nick Kosovich,8.0,24.0,42,Actor/Actress,Indiana,United States
3,2,Willa Ford,Maksim Chmerkoskiy,7.666666666666667,23.0,25,Singer/Rapper,Florida,United States
3,3,Emmitt Smith,Cheryl Burke,6.333333333333333,19.0,37,Athlete,Florida,United States
3,3,Harry Hamlin,Ashly DelGrosso,7.333333333333333,22.0,54,Actor/Actress,California,United States
3,3,Jerry Springer,Kym Johnson,7.0,21.0,62,TV Personality,Unknown,England
3,3,Joey Lawrence,Edyta Sliwinska,7.333333333333333,22.0,30,Actor/Actress,Pennsylvania,United States
3,3,Mario Lopez,Karina Smirnoff,7.333333333333333,22.0,32,Actor/Actress,California,United States
3,3,Monique Coleman,Louis van Amstel,9.0,27.0,25,Actor/Actress,South Carolina,United States
3,3,Sara Evans,Tony Dovolani,8.333333333333334,25.0,35,Singer/Rapper,Missouri,United States
3,3,Vivica A. Fox,Nick Kosovich,9.0,27.0,42,Actor/Actress,Indiana,United States
3,3,Willa Ford,Maksim Chmerkoskiy,7.333333333333333,22.0,25,Singer/Rapper,Florida,United States
3,4,Emmitt Smith,Cheryl Burke,8.0,24.0,37,Athlete,Florida,United States
3,4,Jerry Springer,Kym Johnson,7.333333333333333,22.0,62,TV Personality,Unknown,England
3,4,Joey Lawrence,Edyta Sliwinska,9.0,27.0,30,Actor/Actress,Pennsylvania,United States
3,4,Mario Lopez,Karina Smirnoff,9.666666666666666,29.0,32,Actor/Actress,California,United States
3,4,Monique Coleman,Louis van Amstel,8.0,24.0,25,Actor/Actress,South Carolina,United States
3,4,Sara Evans,Tony Dovolani,6.666666666666667,20.0,35,Singer/Rapper,Missouri,United States
3,4,Vivica A. Fox,Nick Kosovich,8.0,24.0,42,Actor/Actress,Indiana,United States
3,4,Willa Ford,Maksim Chmerkoskiy,9.333333333333334,28.0,25,Singer/Rapper,Florida,United States
3,5,Emmitt Smith,Cheryl Burke,9.0,27.0,37,Athlete,Florida,United States
3,5,Jerry Springer,Kym Johnson,8.0,24.0,62,TV Personality,Unknown,England
3,5,Joey Lawrence,Edyta Sliwinska,8.333333333333334,25.0,30,Actor/Actress,Pennsylvania,United States
3,5,Mario Lopez,Karina Smirnoff,9.0,27.0,32,Actor/Actress,California,United States
3,5,Monique Coleman,Louis van Amstel,9.0,27.0,25,Actor/Actress,South Carolina,United States
3,5,Sara Evans,Tony Dovolani,8.0,24.0,35,Singer/Rapper,Missouri,United States
3,5,Willa Ford,Maksim Chmerkoskiy,9.0,27.0,25,Singer/Rapper,Florida,United States
3,6,Emmitt Smith,Cheryl Burke,8.333333333333334,25.0,37,Athlete,Florida,United States
3,6,Jerry Springer,Kym Johnson,6.0,18.0,62,TV Personality,Unknown,England
3,6,Joey Lawrence,Edyta Sliwinska,8.0,24.0,30,Actor/Actress,Pennsylvania,United States
3,6,Mario Lopez,Karina Smirnoff,9.333333333333334,28.0,32,Actor/Actress,California,United States
3,6,Monique Coleman,Louis van Amstel,7.666666666666667,23.0,25,Actor/Actress,South Carolina,United States
3,7,Emmitt Smith,Cheryl Burke,9.5,28.5,37,Athlete,Florida,United States
3,7,Jerry Springer,Kym Johnson,7.666666666666667,23.0,62,TV Personality,Unknown,England
3,7,Joey Lawrence,Edyta Sliwinska,9.5,28.5,30,Actor/Actress,Pennsylvania,United States
3,7,Mario Lopez,Karina Smirnoff,9.333333333333334,28.0,32,Actor/Actress,California,United States
3,7,Monique Coleman,Louis van Amstel,9.0,27.0,25,Actor/Actress,South Carolina,United States
3,8,Emmitt Smith,Cheryl Burke,9.0,27.0,37,Athlete,Florida,United States
3,8,Joey Lawrence,Edyta Sliwinska,9.0,27.0,30,Actor/Actress,Pennsylvania,United States
3,8,Mario Lopez,Karina Smirnoff,9.5,28.5,32,Actor/Actress,California,United States
3,8,Monique Coleman,Louis van Amstel,8.833333333333334,26.5,25,Actor/Actress,South Carolina,United States
3,9,Emmitt Smith,Cheryl Burke,9.833333333333334,29.5,37,Athlete,Florida,United States
3,9,Joey Lawrence,Edyta Sliwinska,9.833333333333334,29.5,30,Actor/Actress,Pennsylvania,United States
3,9,Mario Lopez,Karina Smirnoff,9.833333333333334,29.5,32,Actor/Actress,California,United States
3,10,Emmitt Smith,Cheryl Burke,9.888866666666667,29.666600000000003,37,Athlete,Florida,United States
3,10,Mario Lopez,Karina Smirnoff,9.888866666666667,29.666600000000003,32,Actor/Actress,California,United States
4,1,Apolo Anton Ohno,Julianne Hough,7.0,21.0,24,Athlete,Washington,United States
4,1,Billy Ray Cyrus,Karina Smirnoff,4.333333333333333,13.0,45,Singer/Rapper,Kentucky,United States
4,1,Clyde Drexler,Elena Grinenko,5.333333333333333,16.0,44,Athlete,Louisiana,United States
4,1,Heather Mills,Jonathan Roberts,6.0,18.0,39,Model,Unknown,England
4,1,Ian Ziering,Cheryl Burke,7.0,21.0,42,Actor/Actress,New Jersey,United States
4,1,Joey Fatone,Kym Johnson,8.0,24.0,30,Singer/Rapper,New York,United States
4,1,John Ratzenberger,Edyta Sliwinska,5.666666666666667,17.0,59,Actor/Actress,Connecticut,United States
