season,celebrity_name,ballroom_partner,age,industry_clean,home_state_clean,home_country_clean,survival_weeks,final_placement,judge_avg_score,fan_vote_percent
1,Evander Holyfield,Edyta Sliwinska,42,Athlete,Alabama,United States,3,5,5.0,0.16529543204151936
1,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,Massachusetts,United States,5,3,7.033333333333333,0.16328196980506243
1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Maine,United States,6,2,8.055555555555555,0.37359398585948833
1,Kelly Monaco,Alec Mazo,29,Actor/Actress,Pennsylvania,United States,6,1,7.111111111111111,0.2641708408117553
1,Rachel Hunter,Jonathan Roberts,35,Model,Unknown,New Zealand,4,4,7.916666666666667,0.15919941292926212
1,Trista Sutter,Louis van Amstel,32,TV Personality,Indiana,United States,2,6,6.166666666666666,0.1121586215528097
2,Drew Lachey,Cheryl Burke,29,Singer/Rapper,Ohio,United States,8,1,9.145825,0.1517706324414152
2,George Hamilton,Edyta Sliwinska,66,Actor/Actress,Tennessee,United States,6,5,7.222222222222222,0.14179026902864242
2,Giselle Fernandez,Jonathan Roberts,44,News Anchor,Unknown,Mexico,3,8,7.666666666666667,0.08300105253307917
2,Jerry Rice,Anna Trebunskaya,43,Athlete,Mississippi,United States,8,2,7.506941666666666,0.23555963909883962
2,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,Washington,United States,1,10,4.333333333333333,0.0629810592156165
2,Lisa Rinna,Louis van Amstel,42,Actor/Actress,California,United States,7,4,8.023809523809524,0.13090458161331797
2,Master P,Ashly DelGrosso,35,Singer/Rapper,Louisiana,United States,4,7,4.166666666666667,0.15144837061850994
2,Stacy Keibler,Tony Dovolani,26,Athlete,Maryland,United States,8,3,9.173604166666667,0.13988236212102034
2,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,California,United States,2,9,6.666666666666667,0.13715572650932675
2,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,Hawaii,United States,5,6,7.666666666666667,0.16462721858743387
3,Emmitt Smith,Cheryl Burke,37,Athlete,Florida,United States,10,1,8.588886666666667,0.4840303585452328
3,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,California,United States,3,9,6.666666666666667,0.003644047974076666
3,Jerry Springer,Kym Johnson,62,TV Personality,Unknown,England,7,5,6.809523809523809,0.016047125827403603
3,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,Pennsylvania,United States,9,3,8.62962962962963,0.010159527432636267
3,Mario Lopez,Karina Smirnoff,32,Actor/Actress,California,United States,10,2,8.955553333333333,0.4832844969020934
3,Monique Coleman,Louis van Amstel,25,Actor/Actress,South Carolina,United States,8,4,8.3125,0.0012671095049508192
3,Sara Evans,Tony Dovolani,35,Singer/Rapper,Missouri,United States,5,6,7.0,0.01901298584180916
3,Shanna Moakler,Jesse DeSoto,31,Model,Rhode Island,United States,2,10,6.666666666666666,4.266928471793539e-19
3,Tucker Carlson,Elena Grinenko,37,TV Personality,California,United States,1,11,4.0,4.454334511373552e-19
3,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,Indiana,United States,4,8,8.083333333333332,1.0714872261894287e-18
3,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,Florida,United States,5,7,8.133333333333335,0.0013903737340603402
4,Apolo Anton Ohno,Julianne Hough,24,Athlete,Washington,United States,10,1,8.961106666666668,0.3178052924154269
4,Billy Ray Cyrus,Karina Smirnoff,45,Singer/Rapper,Kentucky,United States,8,5,6.333333333333333,0.027518506628717264
4,Clyde Drexler,Elena Grinenko,44,Athlete,Louisiana,United States,5,8,5.2,0.02200080488863604
4,Heather Mills,Jonathan Roberts,39,Model,Unknown,England,6,7,7.388888888888889,8.090410248916933e-05
4,Ian Ziering,Cheryl Burke,42,Actor/Actress,New Jersey,United States,9,4,8.092592592592592,0.0027643075707406892
4,Joey Fatone,Kym Johnson,30,Singer/Rapper,New York,United States,10,2,8.922216666666667,0.31780529277023545
4,John Ratzenberger,Edyta Sliwinska,59,Actor/Actress,Connecticut,United States,7,6,6.357142857142857,0.0145443552474054
4,Laila Ali,Maksim Chmerkoskiy,29,Athlete,Florida,United States,10,3,8.74444,0.3178052913280348
4,Leeza Gibbons,Tony Dovolani,50,TV Personality,South Carolina,United States,4,9,6.333333333333333,7.497034182551448e-05
4,Paulina Porizkova,Alec Mazo,41,Model,Unknown,Czechoslovakia,2,11,6.666666666666666,6.40833409930931e-11
4,Shandi Finnessey,Brian Fortuna,28,Beauty Pagent,Missouri,United States,3,10,6.666666666666667,0.0027381990162765337
5,Albert Reed,Anna Trebunskaya,22,Model,Florida,United States,2,11,7.0,1.2733646438458994e-05
